id,addtime,brand,model1,discountprice,originalprice,vehicleage,kilometer,imgurl,xqurl,city,thumbsupnum,crazilynum,clicktime,clicknum,discussnum,storeupnum
145,2026-03-11 06:59:41,雪佛兰 创酷 ,雪佛兰 创酷 2014款 1.4T 自动两驱豪华型,1.4,1.4,2014年,15.72,"https://image-public.guazistatic.com/qnbdp7206xfd204a94b42d4e189426774b50d150b81772590064.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163278276288212.html,广州,0,0,,0,0,0
171,2026-03-11 06:59:52,红旗H7 ,红旗H7 2015款 2.0T 豪华型,2.71,2.71,2015年,8.72,"https://image-public.guazistatic.com/qnbdp7206x8ded336335fa4d8cbd0b41dea491ff7b1772430616.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163394184192321.html,广州,0,0,,0,0,0
275,2026-03-11 06:59:47,日产 轩逸 ,日产 轩逸 2016款 经典 1.6XE 手动舒适版,2.43,2.43,2017年,11.96,"https://image-public.guazistatic.com/qnbdp7206x697b02895f6c4911ab8cd2c31fe5abf11772459864.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163449230230742.html,广州,0,0,,0,0,0
277,2026-03-11 06:54:07,别克 英朗 ,别克 英朗 2017款 15N 自动精英型,2.46,2.46,2017年,11.26,"https://image-public.guazistatic.com/qnbdp7206xada8977da38b426cb72e77e8416326ea1772505246.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163547509743040.html,广州,0,0,,0,0,0
290,2026-03-11 06:59:41,吉利汽车 帝豪GS ,吉利汽车 帝豪GS 2017款 运动版 1.3T 自动智联型,2.38,2.38,2017年,11.59,"https://image-public.guazistatic.com/qnbdp7206x5211b23e2cf34836963db724ed8c1a171772255740.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163278668852485.html,广州,0,0,,0,0,0
300,2026-03-11 06:59:47,雪佛兰 科鲁兹 ,雪佛兰 科鲁兹 2013款 掀背 1.6L 自动豪华型,1.62,1.62,2015年,12.33,"https://image-public.guazistatic.com/qnbdp7206x9187d3dd9700455c8185e18bf6daa9711772182066.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163320672164678.html,广州,0,0,,0,0,0
303,2026-03-11 06:59:47,东南DX3 ,东南DX3 2016款 1.5T CVT旗舰型,1.82,1.82,2017年,5.51,"https://image-public.guazistatic.com/qnbdp7206xe65cb815cb884a6b94a847e62855238e1770537377.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c162846443139718.html,广州,0,0,,0,0,0
325,2026-03-11 06:59:52,哈弗H6 ,哈弗H6 2017款 红标 运动版 1.5T 自动两驱豪华型,2.72,2.72,2017年,8.66,"https://image-public.guazistatic.com/qnbdp7206x7f81e28f84d441f28cc31e590df5aff31772706479.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163695782325636.html,广州,0,0,,0,0,0
329,2026-03-11 06:59:47,福特 翼虎 ,福特 翼虎 2015款 1.5L GTDi 两驱风尚型,2.4,2.4,2015年,16.47,"https://image-public.guazistatic.com/qnbdp7206x0b8d417d945844ee83241005aad8f8bf1772519815.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163575442110268.html,广州,0,0,,0,0,0
353,2026-03-11 06:59:52,雪佛兰 科沃兹 ,雪佛兰 科沃兹 2019款 320 自动欣享天窗版,2.45,2.45,2018年,7.04,"https://image-public.guazistatic.com/qnbdp7206x38f4a29722a4463980a0b78272a2a6b61766901162.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c161050742127530.html,广州,0,0,,0,0,0
413,2026-03-11 06:59:52,长安CS35 ,长安CS35 2016款 1.6L 手动豪华型 国IV,1.66,1.66,2016年,9.84,"https://image-public.guazistatic.com/qnbdp7964x1703e45cb30b41bcb005f638410a9af01766112998.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c160800860184062.html,汉中,0,0,,0,0,0
420,2026-03-11 06:59:52,福特 福睿斯 ,福特 福睿斯 2019款 改款 1.5L 自动悦享型 国VI,2.88,2.88,2019年,14.12,"https://image-public.guazistatic.com/qnbdp7206x719ada49450a49cea51b1873eae534d21772597553.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163578737183022.html,广州,0,0,,0,0,0
467,2026-03-11 06:59:41,雪佛兰 科沃兹 ,雪佛兰 科沃兹 2016款 1.5L 自动欣享版,2.16,2.16,2017年,15.42,"https://image-public.guazistatic.com/qnbdp7964xcd041a2af13d4c27b529fded19523ad61765678950.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c160585041273398.html,广州,0,0,,0,0,0
468,2026-03-11 06:59:52,标致308 ,标致308 2019款 230THP 自动豪华版 国V,2.99,2.99,2019年,9.98,"https://image-public.guazistatic.com/qnbdp7206x16c08c7061d247e2af271e1a82bdb6711767927440.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c161534942526451.html,广州,0,0,,0,0,0
585,2026-03-11 06:59:47,东风风光 风光580 ,东风风光 风光580 2016款 1.5T 手动豪华型,1.48,1.48,2016年,3.66,"https://image-public.guazistatic.com/qnbdp7206x7e01776d66e6454886d03ea20d83a13d1772679369.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163660110745243.html,广州,0,0,,0,0,0
674,2026-03-11 06:54:07,起亚K2 ,起亚K2 2017款 三厢 1.4L AT GLS,2.82,2.82,2017年,6.54,"https://image-public.guazistatic.com/qnbdp7206x0d6aca21431f4eedb1fade22dd4732751772262837.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163340794122646.html,广州,0,0,,0,0,0
709,2026-03-11 06:59:47,五菱汽车 五菱宏光S3 ,五菱汽车 五菱宏光S3 2018款 1.5T 手动豪华型 国V,2.82,2.82,2018年,12.14,"https://image-public.guazistatic.com/qnbdp7206xcf5d13b943794698b00a652622d4dc081772625887.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163650363932067.html,广州,0,0,,0,0,0
743,2026-03-11 06:59:41,东风风光 风光580 ,东风风光 风光580 2017款 1.5T CVT豪华型,1.93,1.93,2017年,13.03,"https://image-public.guazistatic.com/qnbdp7206xdbcd7cf4191744f08207dfbcaf4d63ba1770055238.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c162502781151192.html,广州,0,0,,0,0,0
794,2026-03-11 06:59:41,雪佛兰 科沃兹 ,雪佛兰 科沃兹 2019款 320 手动欣悦版,2.17,2.17,2018年,7.98,"https://image-public.guazistatic.com/qnbdp7206xff80e825d8614ac4a21048263498f05a1772613149.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163572709174488.html,广州,0,0,,0,0,0
822,2026-03-11 06:59:47,福特 蒙迪欧 ,福特 蒙迪欧 2013款 1.5L GTDi180舒适型,2.73,2.73,2015年,10.45,"https://image-public.guazistatic.com/qnbdp7206x8ed4822bcfde4a56af1b2808f5ca1b3f1772279810.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163359440250674.html,广州,0,0,,0,0,0
851,2026-03-11 06:54:07,猎豹汽车 猎豹CS10 ,猎豹汽车 猎豹CS10 2016款 2.0T 自动豪华型,1.87,1.87,2016年,4.09,"https://image-public.guazistatic.com/qnbdp7206x54b697812c6a4d35bc5d00f45acc613d1772617824.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163647584483313.html,广州,0,0,,0,0,0
880,2026-03-11 06:59:52,福特 翼虎 ,福特 翼虎 2015款 1.5L GTDi 两驱风尚型,2.62,2.62,2015年,10.24,"https://image-public.guazistatic.com/qnbdp7206x1a0b608cfda74399a031cb759e8fa3a81772448283.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163498593314147.html,广州,0,0,,0,0,0
894,2026-03-11 06:59:41,雪佛兰 ,雪佛兰 2015款 赛欧3 1.3L AMT理想版,1.82,1.82,2017年,6.67,"https://image-public.guazistatic.com/qnbdp7206xa469e028fbf34581a358586f2760ed671772171377.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163000818931090.html,广州,0,0,,0,0,0
922,2026-03-11 06:54:07,宝骏510 ,宝骏510 2017款 1.5L 自动豪华型,1.87,1.87,2017年,10.63,"https://image-public.guazistatic.com/qnbdp7206xf97d2856a83443c3a9c30e59e0f163d61772590755.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163495346325643.html,广州,0,0,,0,0,0
1082,2026-03-11 06:59:41,荣威RX5 ,荣威RX5 2016款 20T 两驱自动旗舰版,2.48,2.48,2017年,16.4,"https://image-public.guazistatic.com/qnbdp7206x7f3e5aa95c7c4e28aafe44ec8cc19c4c1772694727.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163691338497079.html,广州,0,0,,0,0,0
1114,2026-03-11 06:59:47,别克 凯越 ,别克 凯越 2015款 1.5L 手动尊享型,1.66,1.66,2015年,9.21,"https://image-public.guazistatic.com/qnbdp7206xe8fa25dbe4fd40e78e437e83e32e56211772335531.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163467938633702.html,宣城,0,0,,0,0,0
1117,2026-03-11 06:59:41,大众 捷达 ,大众 捷达 2015款 质惠版 1.6L 手动时尚型,2.21,2.21,2017年,7.24,"https://image-public.guazistatic.com/qnbdp7206x286c67e134594f0ba2404944ec0e92001772590276.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163600454285250.html,武汉,0,0,,0,0,0
1227,2026-03-11 06:59:52,江淮瑞风 瑞风M3 ,江淮瑞风 瑞风M3 2015款 创客版 1.6L 豪华智能型,1.66,1.66,2016年,16.8,"https://image-public.guazistatic.com/qnbdp7206x74616abc75804f88bb52e711135933ee1768026765.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c161596121258362.html,广州,0,0,,0,0,0
1231,2026-03-11 06:59:52,别克 英朗 ,别克 英朗 2018款 18T 自动精英型,2.97,2.97,2019年,9.98,"https://image-public.guazistatic.com/qnbdp7206x6a48ce0c49814365bc028ffc8de6bf101772487539.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163459592254712.html,广州,0,0,,0,0,0
1235,2026-03-11 06:54:07,大众 Polo ,大众 Polo 2014款 1.6L 自动豪华版,2.75,2.75,2014年,10.35,"https://image-public.guazistatic.com/qnbdp7206x99cdbc570f054fceaebf22a46f7bd4921772093485.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c163291233313896.html,广州,0,0,,0,0,0
1315,2026-03-11 06:59:47,长安欧尚 奔奔E-Star ,长安欧尚 奔奔E-Star 2021款 国民版 心悦版（快充版）磷酸铁锂（31.95kWh）,2.36,2.36,2021年,11.09,"https://image-public.guazistatic.com/qnbdp7206xa6bed4d152244d50ab10fec28467d7be1766804031.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c161126262308014.html,常州,0,0,,0,0,0
1329,2026-03-11 06:59:52,奔腾小马 ,奔腾小马 2026款 222km 萌趣马,2.95,2.95,2025年,0.0,"https://image-public.guazistatic.com/qnbdp7964x1b0b507ca89e44b792bede8544c838ae1768384468.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c161825545203323.html,菏泽,0,0,,0,0,0
1624,2026-03-11 06:59:41,五菱汽车 宏光MINIEV ,五菱汽车 宏光MINIEV 2022款 马卡龙臻享款 磷酸铁锂,2.11,2.11,2022年,3.59,"https://image-public.guazistatic.com/qnbdp7206x098ceb3f7cc44c08afa708c5eba7b43e1768617108.jpg?x-bce-process=image/quality,q_88/resize,m_fill,w_330,h_220",https://www.guazi.com/car-detail/c161948000705700.html,成都,0,0,,0,0,0
